jersey_number;"position";"player";"years_active"
23;"D";"VANDERMEER, Jim";"2002-04, 07-08"
26;"D";"VANDERMEER, Jim";"2002-04, 07-08"
2;"D";"VANIMPE, Ed";"1967-76"
21;"LW";"VAN RIEMSDYK, James";"2009-12"
10;"RW";"VERSTEEG, Kris";"2010-11"
43;"RW";"VERVERGAERT, Dennis";"1978-80"
28;"RW";"VERVERGAERT, Dennis";"1978-80"
11;"RW";"VERVERGAERT, Dennis";"1978-80"
43;"C";"VILGRAIN, Claude";"1993-94"
24;"LW";"VOPAT, Roman";"1998-99"
29;"LW";"VOPAT, Roman";"1998-99"
93;"RW";"VORACEK, Jakub";"2011-**"
8;"D";"WALKER, Matt";"2010-13"
36;"C";"WALZ, Wes";"1991-93"
18;"LW";"WARRINER, Todd";"2002-03"
38;"C";"WASHBURN, Steve";"1999-00, 2000-01"
20;"D";"WATSON, Jimmy";"1972-82"
3;"D";"WATSON, Joe";"1967-78"
14;"D";"WATSON, Joe";"1967-78"
2;"D";"WEINRICH, Eric";"2001-04"
7;"D";"WELLS, Jay";"1988-90"
47;"LW";"WELLWOOD, Eric";"2010-14"
54;"RW";"WESENBERG, Brian";"1998-00"
8;"D";"WESLEY, Blake";"1979-81"
6;"D";"WESLEY, Blake";"1979-81"
14;"C";"WHITE, Peter";"1998-01, 2003-04"
15;"C";"WHITE, Peter";"1998-01, 2003-04"
15;"C";"WHITE, Todd";"1999-00"
23;"C";"WHITE, Todd";"1999-00"
24;"D";"WILKIE, Bob";"1993-94"
35;"C";"WILLIAMS, Gordie";"1981-83"
34;"C";"WILLIAMS, Gordie";"1981-83"
14;"RW";"WILLIAMS, Justin";"2000-04"
3;"D";"WILSON, Behn";"1978-83"
1;"G";"WILSON, Dunc";"1969-70"
32;"RW";"WINNES, Chris";"1993-94"
35;"G";"WREGGET, Ken";"1988-92"
18;"LW";"WRIGHT, Jamie";"2002-03"
20;"LW";"WRIGHT, Keith";"1967-68"
10;"C";"WRIGHT, Larry";"1971-73, 75-76"
15;"C";"WRIGHT, Larry";"1971-73, 75-76"
21;"C";"WRIGHT, Larry";"1971-73, 75-76"
20;"C";"WRIGHT, Larry";"1971-73, 75-76"
61;"C";"YORK, Mike";"2006-07"
6;"C";"YOUNG, Tim";"1984-85"
30;"G";"YOUNG, Wendell";"1987-88"
2;"D";"YUSHKEVICH, Dmitry";"1992-95, 02-03"
22;"D";"YUSHKEVICH, Dmitry";"1992-95, 02-03"
24;"D";"ZALAPSKI, Zarley";"1999-00"
24;"D";"ZEIDEL, Larry";"1967-69"
26;"LW";"ZELEPUKIN, Valeri";"1998-00"
40;"LW";"ZENT, Jason";"1998-00"
26;"D";"ZETTLER, Rob";"1993-95"
25;"C";"ZEZEL, Peter";"1984-88"
23;"C";"ZHAMNOV, Alexei";"2003-04"
93;"RW";"ZHERDEV, Nikolay";"2010-11"
77;"D";"ZHITNIK, Alexei";"2006-07"
29;"LW";"ZOLNIERCZYK, Harry";"2011-13"
42;"LW";"ZUBRUS, Dainius";"1996-99"
9;"LW";"ZUBRUS, Dainius";"1996-99"
